Date,Highest completed,Top Rope,Count,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,3,,1,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,3,,2,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,3,,3,,,,,,,,,,,,,,,,,,,,,,
2018-01-23,3,,4,,,,,,,,,,,,,,,,,,,,,,
2018-01-30,3,,5,,,,,,,,,,,,,,,,,,,,,,/
2018-02-05,3,,6,,,,,,,,,,,,,,,,,,,,,,
2018-02-20,3,,7,,,,,,,,,,,,,,,,,,,,,,
2018-02-22,3,,8,,,,,,,,,,,,,,,,,,,,,,
2018-02-28,4,,9,,,,,,,,,,,,,,,,,,,,,,
2018-03-06,4,,10,,,,,,,,,,,,,,,,,,,,,,
2018-03-08,4,,11,,,,,,,,,,,,,,,,,,,,,,
2018-03-12,4,,12,,,,,,,,,,,,,,,,,,,,,,
2018-03-14,4,,13,,,,,,,,,,,,,,,,,,,,,,
2018-03-16,4,,14,,,,,,,,,,,,,,,,,,,,,,
2018-03-19,4,,15,,,,,,,,,,,,,,,,,,,,,,
2018-03-21,5,,16,,,,,,,,,,,,,,,,,,,,,,
2018-03-23,4,,17,,,,,,,,,,,,,,,,,,,,,,
2018-03-28,4,,18,,,,,,,,,,,,,,,,,,,,,,
2018-04-02,4,,19,,,,,,,,,,,,,,,,,,,,,,
2018-04-04,4,,20,,,,,,,,,,,,,,,,,,,,,,
2018-04-06,3,,21,,,,,,,,,,,,,,,,,,,,,,
2018-04-08,,5.9,22,,,,,,,,,,,,,,,,,,,,,,
2018-04-10,4,,23,,,,,,,,,,,,,,,,,,,,,,
2018-04-12,4,,24,,,,,,,,,,,,,,,,,,,,,,
2018-04-18,3,,25,,,,,,,,,,,,,,,,,,,,,,
2018-04-23,3,,26,,,,,,,,,,,,,,,,,,,,,,
2018-05-11,3,,27,,,,,,,,,,,,,,,,,,,,,,
2018-05-16,3,,28,,,,,,,,,,,,,,,,,,,,,,
2018-05-22,3,,29,,,,,,,,,,,,,,,,,,,,,,
2018-05-23,3,,30,,,,,,,,,,,,,,,,,,,,,,
2018-05-29,3,,31,,,,,,,,,,,,,,,,,,,,,,
2018-06-04,3,,32,,,,,,,,,,,,,,,,,,,,,,
2018-06-06,3,5.10b,33,,,,,,,,,,,,,,,,,,,,,,
2018-06-08,3,,34,,,,,,,,,,,,,,,,,,,,,,
2018-06-11,3,5.10c,35,,,,,,,,,,,,,,,,,,,,,,
2018-06-15,4,,36,,,,,,,,,,,,,,,,,,,,,,
2018-06-18,3,5.11b,37,,,,,,,,,,,,,,,,,,,,,,
2018-06-25,4,5.11b,38,,,,,,,,,,,,,,,,,,,,,,
2018-06-26,4,,39,,,,,,,,,,,,,,,,,,,,,,
2018-07-02,4,,40,,,,,,,,,,,,,,,,,,,,,,
2018-07-05,3,,41,,,,,,,,,,,,,,,,,,,,,,
2018-07-11,4,,42,,,,,,,,,,,,,,,,,,,,,,
2018-07-13,3+,,43,,,,,,,,,,,,,,,,,,,,,,
2018-07-18,3,,44,,,,,,,,,,,,,,,,,,,,,,
2018-07-20,3,,45,,,,,,,,,,,,,,,,,,,,,,
2018-07-23,4,5.11b/c,46,,,,,,,,,,,,,,,,,,,,,,
2018-07-25,4,5.10c,47,,,,,,,,,,,,,,,,,,,,,,
2018-07-27,5,,48,,,,,,,,,,,,,,,,,,,,,,
2018-07-29,,5.10b/c,49,,,,,,,,,,,,,,,,,,,,,,
2018-07-30,4,,50,,,,,,,,,,,,,,,,,,,,,,
2018-08-01,4+,,51,,,,,,,,,,,,,,,,,,,,,,
2018-08-03,4+,,52,,,,,,,,,,,,,,,,,,,,,,
2018-08-06,4+,,53,,,,,,,,,,,,,,,,,,,,,,
2018-08-08,4,,54,,,,,,,,,,,,,,,,,,,,,,
2018-08-13,4+,,55,,,,,,,,,,,,,,,,,,,,,,
2018-08-17,4+,,56,,,,,,,,,,,,,,,,,,,,,,
2018-08-20,4+,5.10b/c,57,,,,,,,,,,,,,,,,,,,,,,
2018-08-21,4+,,58,,,,,,,,,,,,,,,,,,,,,,
2018-08-24,5,,59,,,,,,,,,,,,,,,,,,,,,,
2018-08-27,4,,60,,,,,,,,,,,,,,,,,,,,,,
2018-09-04,5,,61,,,,,,,,,,,,,,,,,,,,,,
2018-09-18,3,,62,,,,,,,,,,,,,,,,,,,,,,
2018-09-20,3,,63,,,,,,,,,,,,,,,,,,,,,,
2018-09-24,3+,,64,,,,,,,,,,,,,,,,,,,,,,
2018-10-03,4,,65,,,,,,,,,,,,,,,,,,,,,,
2018-10-25,4,,66,,,,,,,,,,,,,,,,,,,,,,
2018-10-30,3,,67,,,,,,,,,,,,,,,,,,,,,,
2018-11-01,3,,68,,,,,,,,,,,,,,,,,,,,,,
2018-11-05,3,,69,,,,,,,,,,,,,,,,,,,,,,
2018-11-06,,5.10+,70,,,,,,,,,,,,,,,,,,,,,,
2018-11-19,3,,71,,,,,,,,,,,,,,,,,,,,,,
2018-11-26,3,,72,,,,,,,,,,,,,,,,,,,,,,
2018-11-28,3,,73,,,,,,,,,,,,,,,,,,,,,,
2018-12-03,3,,74,,,,,,,,,,,,,,,,,,,,,,
2018-12-06,3,,75,,,,,,,,,,,,,,,,,,,,,,
2018-12-10,3,5.10-,76,,,,,,,,,,,,,,,,,,,,,,
2018-12-12,4,DYNO!,77,,,,,,,,,,,,,,,,,,,,,,
2018-12-14,4,DYNO!,78,,,,,,,,,,,,,,,,,,,,,,
2018-12-17,4,,79,,,,,,,,,,,,,,,,,,,,,,
2018-12-20,4,,80,,,,,,,,,,,,,,,,,,,,,,